genre,title,href,author,author_href,difficulty,raiting
Fan Fiction,Rebel Jedi 2: The Rebel Base,https://chooseyourstory.com/story/Rebel_Jedi_2_0x3a___The_Rebel_Base.aspx,Rodney,https://chooseyourstory.com/member/?Username=Rodney,6,3.39
Fan Fiction,Rebel Jedi 3: War on Tatooine,https://chooseyourstory.com/story/Rebel_Jedi_3_0x3a___War_on_Tatooine.aspx,Rodney,https://chooseyourstory.com/member/?Username=Rodney,5,3.85
Fan Fiction,Reunion,https://chooseyourstory.com/story/Reunion.aspx,donteatpoop,https://chooseyourstory.com/member/?Username=donteatpoop,2,4.88
Fan Fiction,Silent Night,https://chooseyourstory.com/story/Silent_Night.aspx,Chris113022,https://chooseyourstory.com/member/?Username=Chris113022,3,4.88
Fan Fiction,Spell of Slumber,https://chooseyourstory.com/story/Spell_of_Slumber.aspx,Mystic_Warrior,https://chooseyourstory.com/member/?Username=Mystic_Warrior,4,7.36
Fan Fiction,Star Wars Frostbite,https://chooseyourstory.com/story/Star_Wars_Frostbite.aspx,KrazyK,https://chooseyourstory.com/member/?Username=KrazyK,3,4.73
Fan Fiction,Star Wars: Echoes of Darkness,https://chooseyourstory.com/story/Star_Wars_0x3a__Echoes_of_Darkness.aspx,fluttershypegasus,https://chooseyourstory.com/member/?Username=fluttershypegasus,3,5.67
Fan Fiction,Star Wars:Secrets Of the Empire,https://chooseyourstory.com/story/Star_Wars_0x3a_Secrets_Of_the_Empire.aspx,fluttershypegasus,https://chooseyourstory.com/member/?Username=fluttershypegasus,2,5.76
Fan Fiction,The Black Butler,https://chooseyourstory.com/story/The_Black_Butler.aspx,nluongo93,https://chooseyourstory.com/member/?Username=nluongo93,2,3.73
Fan Fiction,The Delaying Action,https://chooseyourstory.com/story/The_Delaying_Action.aspx,Xt1000305,https://chooseyourstory.com/member/?Username=Xt1000305,3,3.68
